Bracket Type=4

B92 c and n study

MeOH_blank01

Reserpine

MeOH_Blank02

Tryptone 1

Tryptone 2

Tryptone 3

Tryptone blank

Sucrose 1 

Sucrose 2

Sucrose 3

Sucrose blank

BFM3m 1

BFM3m 2

BFM3m 3

BFM3m blank

Ammonium Sulfate 1

Ammonium Sulfate 2

Ammonium Sulfate 3

Ammonium Sulfate blank

Fructose 1

Fructose 2

Fructose 3

Fructose blank

Maltose 1 

Maltose 2

Maltose 3

Galactose 1

Galactose 2

Galactose 3

Galactose blank

Yeast 1 

Yeast 2

Yeast 3

Yeast blank

Ammonium Nitrate 1

Ammonium Nitrate 2

Ammonium Nitrate 3

Ammonium Nitrate blank

MeOH_blank03

